Model,DPO2012B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.004,
Sample Interval,3.2e-07,
Filter Frequency,1e+08,
Record Length,125000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.01,0.1
Label,,
TIME,CH1,CH2
-2.00000e-02,0.0518406,0.328203
-1.99997e-02,0.0517437,0.323453
-1.99994e-02,0.0512781,0.328813
-1.99990e-02,0.0514766,0.325906
-1.99987e-02,0.0510594,0.32475
-1.99984e-02,0.0513859,0.328266
-1.99981e-02,0.0515,0.326359
-1.99978e-02,0.0513937,0.325156
-1.99974e-02,0.0510672,0.326125
-1.99971e-02,0.0512078,0.324953
-1.99968e-02,0.0513437,0.328094
-1.99965e-02,0.0513016,0.325297
-1.99962e-02,0.0515891,0.327031
-1.99958e-02,0.0518062,0.321781
-1.99955e-02,0.05115,0.328609
-1.99952e-02,0.0515531,0.321703
-1.99949e-02,0.0518047,0.327469
-1.99946e-02,0.0514953,0.324531
-1.99942e-02,0.0511359,0.325078
-1.99939e-02,0.0513016,0.325188
-1.99936e-02,0.0517812,0.323766
-1.99933e-02,0.0515937,0.326172
-1.99930e-02,0.0515609,0.324406
-1.99926e-02,0.0515969,0.325094
-1.99923e-02,0.0514734,0.322297
-1.99920e-02,0.0515859,0.324734
-1.99917e-02,0.0515984,0.325406
-1.99914e-02,0.0515375,0.319781
-1.99910e-02,0.0517937,0.329188
-1.99907e-02,0.0515469,0.322875
-1.99904e-02,0.0515625,0.322813
-1.99901e-02,0.0512844,0.328
-1.99898e-02,0.051325,0.324297
-1.99894e-02,0.0515234,0.326828
-1.99891e-02,0.0517703,0.327609
-1.99888e-02,0.051825,0.320922
-1.99885e-02,0.0514016,0.326344
-1.99882e-02,0.0514906,0.326047
-1.99878e-02,0.0513094,0.327375
-1.99875e-02,0.0514578,0.325703
-1.99872e-02,0.0514891,0.327422
-1.99869e-02,0.0513797,0.324266
-1.99866e-02,0.0520812,0.329125
-1.99862e-02,0.0514594,0.325203
-1.99859e-02,0.0514281,0.325375
-1.99856e-02,0.0517,0.330578
-1.99853e-02,0.0515484,0.326578
-1.99850e-02,0.0516828,0.328
-1.99846e-02,0.0511891,0.325109
-1.99843e-02,0.0512859,0.326797
-1.99840e-02,0.0519187,0.327234
-1.99837e-02,0.0519844,0.327125
-1.99834e-02,0.0516437,0.326016
-1.99830e-02,0.0509875,0.323609
-1.99827e-02,0.0515984,0.328781
-1.99824e-02,0.0513766,0.324109
-1.99821e-02,0.0511219,0.32675
-1.99818e-02,0.0514891,0.325094
-1.99814e-02,0.0517187,0.325922
-1.99811e-02,0.0513281,0.325891
-1.99808e-02,0.0513516,0.324344
-1.99805e-02,0.0515625,0.323578
-1.99802e-02,0.0511187,0.323766
-1.99798e-02,0.0509312,0.325422
-1.99795e-02,0.0518,0.323531
-1.99792e-02,0.0512859,0.325703
-1.99789e-02,0.0507594,0.324516
-1.99786e-02,0.0516469,0.321188
-1.99782e-02,0.0514516,0.327516
-1.99779e-02,0.0510047,0.325984
-1.99776e-02,0.0511875,0.325953
-1.99773e-02,0.0510547,0.324422
-1.99770e-02,0.0512109,0.323688
-1.99766e-02,0.0518172,0.323953
-1.99763e-02,0.0517344,0.324984
-1.99760e-02,0.0515562,0.325406
-1.99757e-02,0.0517562,0.324547
-1.99754e-02,0.0513984,0.326359
-1.99750e-02,0.0512359,0.325641
-1.99747e-02,0.0526375,0.326125
-1.99744e-02,0.0513266,0.327656
-1.99741e-02,0.0513687,0.32275
-1.99738e-02,0.0516359,0.326578
-1.99734e-02,0.0516656,0.32575
-1.99731e-02,0.0514187,0.327688
-1.99728e-02,0.0515094,0.326609
-1.99725e-02,0.0516031,0.324641
-1.99722e-02,0.0517234,0.326781
-1.99718e-02,0.0514609,0.330344
-1.99715e-02,0.0517828,0.328203
-1.99712e-02,0.0513578,0.325813
-1.99709e-02,0.0517531,0.329516
-1.99706e-02,0.0514031,0.323688
-1.99702e-02,0.0515109,0.326344
-1.99699e-02,0.0513453,0.328406
-1.99696e-02,0.0516078,0.328109
-1.99693e-02,0.0514766,0.328141
-1.99690e-02,0.0514297,0.327234
-1.99686e-02,0.0514672,0.324375
-1.99683e-02,0.0517062,0.326797
-1.99680e-02,0.0517203,0.327984
-1.99677e-02,0.0514984,0.326109
-1.99674e-02,0.0514437,0.327094
-1.99670e-02,0.0513797,0.327031
-1.99667e-02,0.0511078,0.324906
-1.99664e-02,0.0512375,0.326516
-1.99661e-02,0.0513297,0.327047
-1.99658e-02,0.0512375,0.322734
-1.99654e-02,0.0513328,0.325016
-1.99651e-02,0.0513172,0.324609
-1.99648e-02,0.0513453,0.323828
-1.99645e-02,0.0516531,0.325469
-1.99642e-02,0.0517719,0.322219
-1.99638e-02,0.0514516,0.32625
-1.99635e-02,0.0512656,0.323766
-1.99632e-02,0.0516547,0.328875
-1.99629e-02,0.0512641,0.320453
-1.99626e-02,0.0518109,0.328234
-1.99622e-02,0.0517437,0.321516
-1.99619e-02,0.0518531,0.324469
-1.99616e-02,0.0512656,0.324281
-1.99613e-02,0.0523297,0.324266
-1.99610e-02,0.0519547,0.325063
-1.99606e-02,0.0516422,0.326766
-1.99603e-02,0.0518625,0.323438
-1.99600e-02,0.0510266,0.325297
-1.99597e-02,0.0513469,0.327172
-1.99594e-02,0.0515531,0.328109
-1.99590e-02,0.0514219,0.326281
-1.99587e-02,0.0516953,0.327906
-1.99584e-02,0.0517656,0.324203
-1.99581e-02,0.0515234,0.326047
-1.99578e-02,0.0514484,0.328297
-1.99574e-02,0.0522391,0.323641
-1.99571e-02,0.0515125,0.327875
-1.99568e-02,0.0513484,0.327047
-1.99565e-02,0.0516094,0.324797
-1.99562e-02,0.0515172,0.328078
-1.99558e-02,0.0513812,0.324484
-1.99555e-02,0.0522266,0.328156
-1.99552e-02,0.0516344,0.325859
-1.99549e-02,0.0518078,0.329781
-1.99546e-02,0.0518453,0.324672
-1.99542e-02,0.0518703,0.332266
-1.99539e-02,0.0516031,0.325891
-1.99536e-02,0.0518906,0.328
-1.99533e-02,0.0517437,0.325234
-1.99530e-02,0.0515812,0.325656
-1.99526e-02,0.0514844,0.325203
-1.99523e-02,0.0515422,0.328422
-1.99520e-02,0.0514141,0.325906
-1.99517e-02,0.05155,0.326484
-1.99514e-02,0.0512078,0.324578
-1.99510e-02,0.0515922,0.326219
-1.99507e-02,0.0511641,0.3235
-1.99504e-02,0.0522359,0.327406
-1.99501e-02,0.0517219,0.320641
-1.99498e-02,0.0514437,0.325953
-1.99494e-02,0.0519828,0.324141
-1.99491e-02,0.0516594,0.324344
-1.99488e-02,0.0513062,0.326219
-1.99485e-02,0.0516094,0.325281
-1.99482e-02,0.0513125,0.319516
-1.99478e-02,0.0516469,0.326141
-1.99475e-02,0.0514594,0.326531
-1.99472e-02,0.05095,0.327
-1.99469e-02,0.0515312,0.322563
-1.99466e-02,0.0515453,0.326172
-1.99462e-02,0.05145,0.322828
