Data run started at:  Tuesday, October 10, 2017	4:39:42 PM
magnet(A)	lockin1(V)	lockin2(V)	time (sec)
NaN	NaN	NaN	7.315000
0.143621	0.833776	0.007289	7.736000
0.143643	0.834249	0.007219	8.236000
0.143774	0.834045	0.007420	8.736000
0.143856	0.833583	0.007589	9.236000
0.143738	0.833247	0.007610	9.736000
0.143802	0.832822	0.007409	10.236000
0.143918	0.832672	0.007314	10.736000
0.143780	0.833369	0.007460	11.237000
0.143793	0.833904	0.007336	11.736000
0.143732	0.833822	0.007275	12.236000
0.143759	0.833545	0.007261	12.736000
0.143820	0.832851	0.007198	13.236000
0.145324	0.832826	0.007240	13.736000
0.150926	0.833033	0.007482	14.236000
0.169572	0.833790	0.007570	14.736000
0.194518	0.834495	0.007243	15.236000
0.219587	0.833869	0.007273	15.737000
0.241921	0.832342	0.007527	16.236000
0.261936	0.830738	0.007993	16.736000
0.281638	0.829242	0.008369	17.236000
0.297336	0.828312	0.008636	17.736000
0.315952	0.827288	0.008987	18.236000
0.341135	0.826649	0.009348	18.736000
0.357848	0.825934	0.009644	19.236000
0.375491	0.824910	0.009677	19.736000
0.395369	0.823364	0.009891	20.236000
0.419169	0.821085	0.010532	20.736000
0.440981	0.818495	0.011186	21.236000
0.465049	0.816038	0.011625	21.736000
0.481357	0.813872	0.011930	22.236000
0.501132	0.812057	0.012504	22.736000
0.521841	0.810598	0.012955	23.237000
0.541066	0.809326	0.013546	23.736000
0.562494	0.807887	0.014141	24.236000
0.589855	0.805696	0.014444	24.736000
0.613080	0.803009	0.014402	25.236000
0.635799	0.799847	0.014860	25.736000
0.649658	0.796910	0.015731	26.236000
0.678210	0.795061	0.016075	26.736000
0.702246	0.793128	0.016539	27.236000
0.723093	0.791487	0.016813	27.736000
0.739774	0.790043	0.017110	28.236000
0.763297	0.788022	0.017704	28.736000
0.782244	0.785544	0.018471	29.236000
0.794441	0.783094	0.019270	29.736000
0.817581	0.780736	0.019787	30.236000
0.843391	0.778280	0.019886	30.736000
0.858740	0.775992	0.020501	31.236000
0.875150	0.774493	0.021145	31.736000
