Data run started at:  Tuesday, October 17, 2017	3:14:31 PM
magnet(A)	lockin1(V)	lockin2(V)	time (sec)
NaN	NaN	NaN	16.044000
0.068942	0.485526	0.020383	16.101000
0.069003	0.485035	0.020318	16.601000
0.069116	0.484093	0.020243	17.101000
0.069199	0.483863	0.020329	17.601000
0.069144	0.484106	0.020328	18.101000
0.069020	0.485381	0.020349	18.601000
0.069080	0.485295	0.020447	19.102000
0.069942	0.484686	0.020354	19.601000
0.085321	0.484514	0.020335	20.101000
0.110881	0.483936	0.020438	20.601000
0.135166	0.482923	0.020528	21.102000
0.156424	0.481930	0.020712	21.601000
0.180038	0.481362	0.020873	22.101000
0.201693	0.481877	0.021202	22.602000
0.219182	0.483404	0.021618	23.101000
0.236337	0.483692	0.022086	23.601000
0.259259	0.483379	0.022924	24.101000
0.276942	0.483923	0.024053	24.601000
0.294453	0.483827	0.025083	25.101000
0.314798	0.483165	0.026077	25.601000
0.337167	0.482009	0.027070	26.101000
0.359316	0.480331	0.028046	26.601000
0.382071	0.478273	0.029204	27.102000
0.402960	0.477163	0.030352	27.601000
0.426700	0.475974	0.031472	28.101000
0.445520	0.474794	0.032643	28.601000
0.463112	0.473727	0.033742	29.102000
0.484911	0.472405	0.034898	29.601000
0.511787	0.470802	0.036233	30.101000
0.535597	0.469245	0.037732	30.601000
0.554604	0.467742	0.039072	31.102000
0.573200	0.466717	0.040240	31.601000
0.605192	0.465791	0.041400	32.101000
0.625241	0.464651	0.042687	32.601000
0.644290	0.463431	0.043913	33.101000
0.662970	0.462059	0.045272	33.601000
0.687125	0.460665	0.046690	34.101000
0.706929	0.459285	0.048189	34.601000
0.719573	0.458001	0.049761	35.101000
0.747351	0.456501	0.051209	35.601000
0.770555	0.455035	0.052692	36.101000
0.783991	0.453680	0.054191	36.601000
0.810083	0.452689	0.055561	37.101000
0.838819	0.451688	0.056841	37.601000
0.859091	0.450850	0.058108	38.101000
0.870444	0.449953	0.059620	38.601000
0.895508	0.448964	0.061031	39.101000
0.918005	0.447796	0.062301	39.601000
0.938338	0.446745	0.063480	40.102000
0.961239	0.445547	0.064785	40.601000
0.984532	0.444283	0.066148	41.101000
1.015110	0.443155	0.067576	41.601000
