Data run started at:  Thursday, October 19, 2017	3:30:23 PM
magnet(A)	lockin1(V)	lockin2(V)	time (sec)
NaN	NaN	NaN	12.943000
0.071213	0.504951	0.023462	13.316000
0.071476	0.504661	0.023391	13.817000
0.071600	0.504657	0.023346	14.316000
0.071680	0.504463	0.023187	14.817000
0.071496	0.504070	0.022937	15.316000
0.071338	0.503839	0.022838	15.816000
0.071571	0.503879	0.022704	16.316000
0.074306	0.504124	0.022653	16.816000
0.089805	0.503966	0.022641	17.316000
0.115769	0.503496	0.022662	17.817000
0.138846	0.502971	0.022720	18.316000
0.159480	0.502889	0.022991	18.816000
0.180960	0.502972	0.023432	19.316000
0.204724	0.502799	0.023913	19.816000
0.222678	0.502079	0.024381	20.316000
0.236161	0.501470	0.025113	20.816000
0.255152	0.501371	0.026036	21.317000
0.276828	0.501560	0.026948	21.816000
0.294377	0.501071	0.028062	22.316000
0.311038	0.500518	0.029198	22.816000
0.330198	0.499829	0.030224	23.317000
0.353644	0.498861	0.031283	23.817000
0.375489	0.497502	0.032389	24.316000
0.394773	0.495816	0.033413	24.817000
0.413506	0.494264	0.034360	25.316000
0.436066	0.493083	0.035287	25.816000
0.453068	0.492114	0.036352	26.316000
0.469678	0.491896	0.037663	26.816000
0.489311	0.491798	0.039057	27.316000
0.513486	0.491215	0.040277	27.817000
0.534284	0.490214	0.041451	28.316000
0.556311	0.488560	0.042636	28.817000
0.571706	0.486937	0.043934	29.316000
0.598285	0.485609	0.045262	29.816000
0.622900	0.484352	0.046602	30.316000
0.642720	0.483088	0.047712	30.816000
0.661319	0.481823	0.049012	31.317000
0.681451	0.480312	0.050398	31.816000
0.701139	0.478888	0.051860	32.316000
0.716136	0.477340	0.053284	32.816000
0.735072	0.475772	0.054668	33.316000
0.764652	0.474236	0.056290	33.816000
0.782383	0.473021	0.057806	34.316000
0.794919	0.472171	0.059321	34.817000
0.820880	0.471001	0.060562	35.316000
0.845612	0.470026	0.061635	35.816000
0.865603	0.468951	0.062756	36.316000
0.875574	0.467637	0.063747	36.816000
0.897877	0.466711	0.065019	37.316000
0.920134	0.465547	0.066316	37.817000
0.938339	0.464462	0.067694	38.316000
0.957996	0.463269	0.069086	38.816000
0.982257	0.461895	0.070442	39.316000
1.009851	0.460640	0.071853	39.816000
1.034695	0.459662	0.073363	40.317000
1.048507	0.458342	0.074704	40.816000
1.064330	0.456803	0.076119	41.317000
1.086343	0.455771	0.077641	41.816000
1.100693	0.454857	0.079207	42.317000
1.118901	0.453910	0.080812	42.816000
1.138662	0.452910	0.082153	43.316000
1.160640	0.451940	0.083338	43.816000
1.182888	0.451038	0.084594	44.316000
1.200412	0.449998	0.085738	44.816000
1.217392	0.448969	0.087103	45.316000
1.239358	0.447785	0.088414	45.816000
1.259023	0.446489	0.089588	46.316000
1.279406	0.444925	0.090722	46.816000
1.298851	0.443468	0.092074	47.316000
1.316108	0.442347	0.093393	47.817000
1.336725	0.441420	0.094697	48.316000
1.358212	0.440610	0.096017	48.817000
1.381708	0.439786	0.097494	49.316000
1.398750	0.438553	0.098975	49.816000
1.414545	0.437033	0.100402	50.317000
1.434972	0.435613	0.101738	50.816000
1.454094	0.434445	0.103082	51.316000
1.474118	0.433164	0.104443	51.816000
1.492557	0.431764	0.105782	52.316000
1.511198	0.430280	0.107152	52.816000
